ecg1,ecg2,ecg3,ecg4,ecg5,tstamp
-4.68E-05,1.20E-05,-2.43E-05,2.17E-05,1.28E-05,21:16.1
-9.32E-05,1.12E-05,-5.06E-07,4.23E-05,3.11E-05,21:16.1
-0.00010725,1.16E-05,4.13E-06,5.21E-05,3.73E-05,21:16.1
-5.48E-05,1.26E-05,-2.13E-05,2.42E-05,1.87E-05,21:16.1
3.14E-05,1.04E-05,-4.75E-05,-4.07E-06,-5.84E-06,21:16.1
9.75E-05,6.82E-06,-6.43E-05,-2.27E-05,-2.60E-05,21:16.1
0.00014939,6.21E-06,-7.93E-05,-4.32E-05,-4.59E-05,21:16.1
0.00015907,6.69E-06,-8.30E-05,-4.22E-05,-4.69E-05,21:16.1
9.95E-05,8.38E-06,-6.84E-05,-2.28E-05,-2.83E-05,21:16.1
3.36E-05,9.78E-06,-4.24E-05,5.36E-07,-5.81E-06,21:16.1
-2.68E-05,1.07E-05,-1.95E-05,2.50E-05,2.34E-05,21:16.1
-9.26E-05,9.75E-06,-3.86E-06,4.18E-05,4.34E-05,21:16.1
-0.00010319,6.61E-06,-4.10E-06,3.75E-05,3.49E-05,21:16.1
-4.67E-05,9.33E-06,-2.72E-05,1.61E-05,1.44E-05,21:16.1
3.92E-05,9.35E-06,-5.35E-05,-5.54E-06,-9.71E-06,21:16.1
0.00011867,2.71E-06,-7.54E-05,-2.94E-05,-3.79E-05,21:16.1
0.00016256,3.32E-06,-9.23E-05,-4.63E-05,-5.45E-05,21:16.1
0.00016276,6.60E-06,-9.06E-05,-4.26E-05,-5.12E-05,21:16.1
0.0001119,8.08E-06,-7.39E-05,-2.50E-05,-2.96E-05,21:16.1
2.82E-05,1.04E-05,-4.81E-05,1.46E-06,-1.48E-06,21:16.1
-5.15E-05,1.01E-05,-2.20E-05,2.61E-05,2.12E-05,21:16.1
-9.94E-05,1.19E-05,-7.15E-06,4.28E-05,3.45E-05,21:16.1
-9.89E-05,1.30E-05,-4.11E-06,4.35E-05,3.42E-05,21:16.1
-5.54E-05,7.63E-06,-2.05E-05,1.99E-05,1.63E-05,21:16.1
2.72E-05,6.81E-06,-5.32E-05,-1.16E-05,-1.44E-05,21:16.1
0.00011338,1.22E-05,-7.77E-05,-3.43E-05,-3.64E-05,21:16.1
0.00015585,1.34E-05,-8.74E-05,-4.52E-05,-4.71E-05,21:16.1
0.00015234,1.13E-05,-8.71E-05,-4.27E-05,-5.02E-05,21:16.1
9.94E-05,8.39E-06,-6.97E-05,-2.40E-05,-3.08E-05,21:16.1
1.69E-05,6.80E-06,-4.44E-05,-1.57E-06,-5.15E-06,21:16.1
-5.68E-05,7.66E-06,-2.26E-05,2.15E-05,1.60E-05,21:16.1
-0.00010684,7.13E-06,-7.73E-07,4.50E-05,3.90E-05,21:16.1
-0.00010925,1.00E-05,-1.60E-06,3.85E-05,3.91E-05,21:16.1
-5.14E-05,1.26E-05,-2.82E-05,1.22E-05,1.42E-05,21:16.1
3.63E-05,5.49E-06,-5.13E-05,-7.01E-06,-1.19E-05,21:16.1
0.00010943,2.23E-06,-7.19E-05,-2.98E-05,-3.50E-05,21:16.2
0.00015381,2.92E-06,-8.85E-05,-4.70E-05,-5.29E-05,21:16.2
0.00014785,-1.29E-06,-8.89E-05,-4.44E-05,-5.07E-05,21:16.2
8.12E-05,-2.48E-07,-7.14E-05,-2.68E-05,-2.65E-05,21:16.2
1.32E-05,1.19E-06,-4.13E-05,-1.51E-06,-6.14E-07,21:16.2
-4.95E-05,3.15E-07,-1.63E-05,2.50E-05,2.35E-05,21:16.2
-0.00011785,4.10E-06,-1.79E-06,4.56E-05,4.23E-05,21:16.2
-0.00012192,2.39E-06,-4.03E-06,4.28E-05,3.64E-05,21:16.2
-5.38E-05,2.61E-07,-2.45E-05,2.19E-05,1.75E-05,21:16.2
2.48E-05,1.47E-06,-4.73E-05,-1.75E-06,-6.50E-06,21:16.2
